label,index,OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type,idx,building_reference
commercial_2,7380,7380,1960,3,Commercial,345.0,9.729999999999995,Commerce,7380,6614711DG1061B
commercial_5,10586,10586,1920,3,Commercial,270.0,9.87999999999999,Retail commerce,10586,6923601DG1062B
commercial_2,18198,18198,2023,3,Commercial,174.99999999999997,6.999999999999998,Commerce,18198,7623844DG1072B
commercial_6,20273,20273,1970,3,Commercial,219.99999999999997,55.88,Commerce,20273,7822610DG1072B
commercial_2,31107,31107,1950,3,Commercial,349.99999999999994,6.819999999999993,Commerce,31107,8933505DG1083D
commercial_3,17077,17077,1997,3,Commercial,355.0,7.379999999999986,Commerce,17077,7522011DG1072B
commercial_0,15172,15172,1940,3,Commercial,340.0,10.309999999999997,Commerce,15172,7319804DG1071B
commercial_6,18089,18089,1906,3,Commercial,124.99999999999999,5.369999999999994,Pharmacy commerce,18089,7620211DG1072B
commercial_4,12900,12900,1992,6,Commercial,4.999999999999993,12.099999999999998,Commerce,12900,7116417DG1071B
commercial_4,9152,9152,2005,3,Commercial,165.0,15.199999999999998,Commerce,9152,6811859DG1061B
commercial_2,12840,12840,1960,3,Commercial,0.0,9.789999999999988,Commerce,12840,7115611DG1071B
commercial_2,20222,20222,1916,3,Commercial,335.0,6.1499999999999915,Commerce,20222,7822202DG1072B
commercial_3,31156,31156,1970,3,Commercial,260.0,12.319999999999988,Commerce,31156,8934324DG1083D
commercial_6,20000,20000,2003,3,Commercial,154.99999999999997,0.0,Commerce,20000,7815119DG1071B
commercial_4,34883,34883,2008,3,Commercial,165.0,11.929999999999996,Commerce,34883,9418817DG1091B
commercial_2,20140,20140,1935,3,Commercial,160.0,8.379999999999988,Commerce,20140,7820223DG1072B
commercial_2,24549,24549,1930,3,Commercial,170.0,9.950000000000001,Commerce,24549,8230530DG1083D
commercial_0,17344,17344,1927,3,Commercial,0.0,9.929999999999994,Commerce,17344,7530107DG1073D
commercial_2,37738,37738,1978,3,Commercial,189.99999999999997,10.329999999999988,Commerce,37738,9928417DG1092D
commercial_3,27720,27720,1923,3,Commercial,75.0,13.76,Commerce,27720,8613313DG1081B
commercial_5,25734,25734,1968,3,Commercial,104.99999999999997,13.879999999999997,Commerce,25734,8423313DG1082B
commercial_3,20051,20051,1890,3,Commercial,79.99999999999999,6.63,Commerce,20051,7816736DG1071B
commercial_3,37629,37629,1995,3,Commercial,99.99999999999999,17.04999999999999,Retail commerce,37629,9925101DG1092D
